Vert_Group,Genus,Species,Common_name,Latitude,Longitude,Elevation,Year_final,Breeding_Cycle,Moult,Life_Stage,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,MajorStressPop,Male_A_Mean,fem_A_Mean,Male_BC_Mean,fem_BC_Mean,Male_SC_Mean,fem_SC_Mean,Ref_ID
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.19,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.19,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.2,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.225,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,Prebreeding,Fishing,Passive,5,,,,0.24,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.25,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.28,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.32,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,Postbreeding,Fishing,Passive,5,,,,0.47,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,Postbreeding,Fishing,Passive,5,,,,0.57,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.7,60,1996,Breeding,,Prebreeding,Fishing,Passive,5,,,,0.6,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,Prebreeding,Fishing,Passive,5,,,,0.8,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,,Fishing,Passive,5,,,,0.81,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,Prebreeding,Fishing,Passive,5,,,,0.85,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,Postbreeding,Fishing,Passive,5,,,,1,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,,Fishing,Passive,5,,,,1.08,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,,Fishing,Passive,5,,,,1.2,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.7,60,1996,Breeding,,Prebreeding,Fishing,Passive,5,,,,1.3,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.7,60,1996,Breeding,,Prebreeding,Fishing,Passive,5,,,,1.4,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.7,60,1996,Breeding,,Prebreeding,Fishing,Passive,5,,,,3,,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.15,,,,,,602
Fish,Hiodon,alosoides,Goldeye,53.37,-113.19,651,1984,Nonbreeding,,,Fishing,Passive,,,,,0.8,0.3,,,,,597
Fish,Hiodon,alosoides,Goldeye,53.37,-113.19,651,1984,Breeding,,,Fishing,Passive,,,,,,0.3,,,,,597
Fish,Hiodon,alosoides,Goldeye,53.37,-113.19,651,1984,Nonbreeding,,,Fishing,Passive,,,,,,0.35,,,,,597
Fish,Hiodon,alosoides,Goldeye,53.37,-113.19,651,1984,Nonbreeding,,,Fishing,Passive,,,,,0.85,0.4,,,,,597
Fish,Hiodon,alosoides,Goldeye,53.37,-113.19,651,1984,Nonbreeding,,,Fishing,Passive,,,,,1.35,0.5,,,,,597
Fish,Hiodon,alosoides,Goldeye,53.37,-113.19,651,1984,Breeding,,,Fishing,Passive,,,,,5.35,4.8,,,,,597
Mammal,Connochaetes,taurinus,White-bearded wildebeest,-24,31.5,330,,Breeding,,,Tranquilizer,Anesthetized,15,15,,,2.4,,12.8,,,,217
Mammal,Tragelaphus,strepsiceros,Greater kudu,-24,31.5,330,,Breeding,,,Tranquilizer,Anesthetized,15,15,,,0.4,,13,,,,217
Mammal,Ursus,maritimus,Polar bear,73.757,-92.45,300,2009,Breeding,,,Tranquilizer,Anesthetized,,,,,,,,87.15,,,234
Mammal,Ursus,maritimus,Polar bear,73.757,-92.45,300,2009,Breeding,,,Tranquilizer,Anesthetized,,,,,,,,113.57,,,234
Mammal,Ursus,maritimus,Polar bear,73.757,-92.45,300,2009,Breeding,,,Tranquilizer,Anesthetized,,,,,,,94.6,,,,234
Reptile,Trachemys,scripta,Red-eared slider,40.32,-89.51,175,2010,Breeding,,Laying,Trap,Passive,,5,120,,,,,1.76,,3.942,524
Bird,Cardinalis,cardinalis,Northern cardinal,31.32,-89.31,52,2011,Breeding,,Incubation,Nesting,Active,3,3,,,,0.77,,,,,406
Mammal,Rhinolophus,ferrumequinum,Horseshoe bat,36.6756,136.8686,31,,Nonbreeding,,,Nesting,Killed,240,,,,0.035,,,,,,587
Mammal,Rhinolophus,ferrumequinum,Horseshoe bat,36.6756,136.8686,31,,Breeding,,,Nesting,Killed,240,,,,0.072,,,,,,587
Mammal,Rhinolophus,ferrumequinum,Horseshoe bat,36.6756,136.8686,31,,Nonbreeding,,,Nesting,Killed,240,,,,0.379,,,,,,587
Mammal,Rhinolophus,ferrumequinum,Horseshoe bat,36.6756,136.8686,31,,Breeding,,,Nesting,Killed,240,,,,3.664,,,,,,587
Fish,Brachyhypopomus,gauderio,Electric fish,-32.01,-55.56,97,2009,Breeding,,,Trap,Active,3,,,,1.212,0.038,,,,,475
Fish,Brachyhypopomus,gauderio,Electric fish,-32.01,-55.56,97,2009,Breeding,,,Trap,Active,3,,,,,0.038,,,,,475
Fish,Brachyhypopomus,gauderio,Electric fish,-32.01,-55.56,97,2009,Breeding,,,Trap,Active,3,,,,0.863,0.621,,,,,475
Fish,Mugil,cephalus,Grey mullet,-12.49,80.15,0,2012,,,,Trap,Active,,,,,1.82,0.312,,,,,612
Fish,Mugil,cephalus,Grey mullet,-12.49,80.15,0,2012,,,,Trap,Active,,,,,0.75,0.6,,,,,612
Fish,Mugil,cephalus,Grey mullet,-12.49,80.15,0,2012,,,,Trap,Active,,,,,0.734,0.628,,,,,612
Fish,Mugil,cephalus,Grey mullet,-12.49,80.15,0,2012,,,,Trap,Active,,,,,0.914,0.938,,,,,612
Bird,Gallirallus,philippensis,Buff-banded rail,-23.4413,151.913,5,2000,Nonbreeding,,,Trap,,5,,,,0.08,,,,,,163
Bird,Gallirallus,philippensis,Buff-banded rail,-23.4413,151.913,5,2000,Breeding,,Young care,Trap,,5,,,,0.18,,,,,,163
Bird,Gallirallus,philippensis,Buff-banded rail,-23.4413,151.913,5,2000,Breeding,,Incubation,Trap,,5,,,,0.2,,,,,,163
Bird,Gallirallus,philippensis,Buff-banded rail,-23.4413,151.913,5,2000,Breeding,,Courtship,Trap,,5,,,,0.61,,,,,,163
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Incubation,Trap,Passive,,,,,0.06,,,,,,173
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Postbreeding,Trap,Passive,,,,,0.07,,,,,,173
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Young care,Trap,Passive,,,,,0.08,,,,,,173
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Prebreeding,Trap,Passive,,,,,0.27,,,,,,173
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Laying,Trap,Passive,,,,,0.43,,,,,,173
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Incubation,Trap,Passive,,,,,0.07,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Postbreeding,Trap,Passive,,,,,0.07,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Postbreeding,Trap,Passive,,,,,0.07,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Young care,Trap,Passive,,,,,0.09,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Young care,Trap,Passive,,,,,0.09,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Incubation,Trap,Passive,,,,,0.13,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Courtship,Trap,Passive,,,,,0.23,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1999,Breeding,,Laying,Trap,Passive,,,,,0.24,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1998,Breeding,,Courtship,Trap,Passive,,,,,0.27,,,,,,178
Bird,Milvus,migrans,Black kite,37.04,-6.43,2,1999,Breeding,,Laying,Trap,Passive,,,,,0.43,,,,,,178
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.185,0.12,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.245,0.17,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,Postbreeding,Fishing,Attractant,50,,,,0.35,0.2,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Breeding,,Prebreeding,Fishing,Attractant,50,,,,0.45,0.21,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.22,0.24,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.2,0.25,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.245,0.26,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Breeding,,,Fishing,Attractant,50,,,,1.15,0.37,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Breeding,,,Fishing,Attractant,50,,,,0.91,0.39,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Breeding,,,Fishing,Attractant,50,,,,1.05,0.63,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.12,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.125,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.2,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.45,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,Postbreeding,Fishing,Attractant,50,,,,0.46,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Nonbreeding,,,Fishing,Attractant,50,,,,0.55,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Breeding,,Prebreeding,Fishing,Attractant,50,,,,1.25,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Breeding,,,Fishing,Attractant,50,,,,2,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Breeding,,,Fishing,Attractant,50,,,,2.13,,,,,,589
Fish,Pagrus,auratus,Australasian snapper,-36.1729,174.48,0,1991,Breeding,,,Fishing,Attractant,50,,,,2.8,,,,,,589
Bird,Agelaius,phoeniceus,Red-winged blackbird,34.4167,-119.6833,3,2010,Breeding,,,Trap,Passive,3,,,,4.188,,,,,,482
Bird,Anas,acuta,Northern pintail,33.8,-106.88,1470,2010,Nonbreeding,,,Trap,Attractant,,3,,Tourism,,,,3.46,,,306
Bird,Anas,acuta,Northern pintail,33.8,-106.88,1470,2009,Nonbreeding,,,Trap,Attractant,,,60,Tourism,,,,,,42.5,306
Bird,Anas,acuta,Northern pintail,33.8,-106.88,1470,2010,Nonbreeding,,,Trap,Attractant,,,60,Tourism,,,,,,77.4,306
Mammal,Octodon,degus,Degu,-30.652,-71.687,133,2011,Breeding,,,Trap,,,3,90,,,,75,81,369.6623,440.2586,489
Mammal,Octodon,degus,Degu,-33.3833,-70.5166,495,2011,Breeding,,,Trap,,,3,90,,,,176,155,436.6219,569.7593,489
Mammal,Octodon,degus,Degu,-33.3833,-70.5166,495,2011,Breeding,,,Trap,,,3,90,,,,186,172,374.4241,548.3469,489
Mammal,Octodon,degus,Degu,-33.3833,-70.5166,495,2011,Breeding,,,Trap,,,3,90,,,,99,173,581.4102,728.1394,489
Mammal,Octodon,degus,Degu,-33.3833,-70.5166,495,2013,Breeding,,Lactation,Trap,,,3,90,,,,,189,,396.5745,490
Mammal,Octodon,degus,Degu,-33.3833,-70.5166,495,2013,Nonbreeding,,,Trap,,,3,90,,,,,229,,693.53,490
Mammal,Octodon,degus,Degu,-33.3833,-70.5166,495,2013,Breeding,,,Trap,,,3,90,,,,54,,665.711,,490
Fish,Salaria,pavo,Peacock blenny,36.9833,-7.85,0,2006,Breeding,,,Trap,Attractant,0,,,,,0.52,,,,,626
Fish,Salaria,pavo,Peacock blenny,45.6878,13.7886,0,2006,Breeding,,,Trap,Attractant,0,,,,,0.6,,,,,626
Fish,Salaria,pavo,Peacock blenny,36.9833,-7.85,0,2006,Breeding,,,Trap,Attractant,0,,,,,0.6,,,,,626
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1983,,,,Trap,Attractant,120,,,,1.02,0.79,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1984,,,,Trap,Attractant,120,,,,0.53,0.86,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1983,,,,Trap,Attractant,120,,,,1.21,1.49,,,,,625
Fish,Salaria,pavo,Peacock blenny,45.6878,13.7886,0,2006,Breeding,,,Trap,Attractant,0,,,,,1.74,,,,,626
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1984,,,,Trap,Attractant,120,,,,0.63,1.84,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1983,,,,Trap,Attractant,120,,,,1.03,5.92,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1984,,,,Trap,Attractant,120,,,,2.99,8.17,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1984,,,,Trap,Attractant,120,,,,0.49,,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1984,,,,Trap,Attractant,120,,,,0.59,,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1983,,,,Trap,Attractant,120,,,,2.53,,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1984,,,,Trap,Attractant,120,,,,3.55,,,,,,625
Fish,Ictalurus,nebulosus,Bullhead catfish,41.5273,-70.5163,0,1983,,,,Trap,Attractant,120,,,,3.95,,,,,,625
Fish,Salaria,pavo,Peacock blenny,45.6878,13.7886,0,2006,Breeding,,Parasitic male,Trap,Attractant,0,,,,0.04,,,,,,626
Fish,Salaria,pavo,Peacock blenny,36.9833,-7.85,0,2006,Breeding,,Parasitic male,Trap,Attractant,0,,,,0.75,,,,,,626
Fish,Salaria,pavo,Peacock blenny,45.6878,13.7886,0,2006,Breeding,,Nest-holder male,Trap,Attractant,0,,,,1.46,,,,,,626
Fish,Salaria,pavo,Peacock blenny,36.9833,-7.85,0,2006,Breeding,,Nest-holder male,Trap,Attractant,0,,,,4.09,,,,,,626
Fish,Salaria,pavo,Peacock blenny,36.9833,-7.85,0,2006,Breeding,,Parasitic male,Trap,Attractant,0,,,,0.41,,,,,,626
